Designator,Footprint,Quantity,Value,LCSC Part #
"SW1, SW15, SW48",SW_Hole_1.5u,3,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW16, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW47, SW49, SW5, SW53, SW58, SW59, SW6, SW60, SW7, SW8, SW9",SW_Hole_1u,46,SW_Push,
SW17,SW_Hole_1.75u,1,SW_Push,
SW31,SW_Hole_2.25u,1,SW_Push,
SW32,SW_Hole_2u,1,SW_Push,
"SW46, SW50, SW51, SW55, SW56, SW57",SW_Hole_1.25u,6,SW_Push,
